reference_isoform_id	comparator_isoform_id	ref_atg_genomic	ref_atg_exonic_in_comp	ref_orf_length	comp_orf_length	comp_stop_tx_pos	n_downstream_ejc	category
ENST00000351829.9	ENST00000863936.1	45561795	TRUE	975	888	1576	0	truncated_no_ejc
ENST00000351829.9	ENST00000372070.7	45561795	TRUE	975	975	1723	0	no_downstream_ejc
ENST00000351829.9	ENST00000621846.4	45561795	TRUE	975	975	1266	0	no_downstream_ejc
ENST00000351829.9	ENST00000434299.5	45561795	TRUE	975	NA	NA	NA	mapping_failed
ENST00000351829.9	ENST00000863937.1	45561795	TRUE	975	975	1234	0	no_downstream_ejc
ENST00000351829.9	ENST00000940609.1	45561795	TRUE	975	975	1223	0	no_downstream_ejc
ENST00000351829.9	ENST00000863938.1	45561795	TRUE	975	975	1098	0	no_downstream_ejc
ENST00000351829.9	ENST00000863939.1	45561795	TRUE	975	975	1085	0	no_downstream_ejc
ENST00000351829.9	ENST00000962573.1	45561795	TRUE	975	975	1126	0	no_downstream_ejc
ENST00000351829.9	ENST00000863940.1	45561795	TRUE	975	750	858	0	truncated_no_ejc
ENST00000351829.9	ENST00000940610.1	45561795	TRUE	975	750	1203	0	truncated_no_ejc
ENST00000351829.9	ENST00000940611.1	45561795	TRUE	975	708	1195	0	truncated_no_ejc
ENST00000351829.9	ENST00000496999.5	45561795	FALSE	NA	NA	NA	NA	ref_atg_lost
ENST00000351829.9	ENST00000962574.1	45561795	TRUE	975	975	1446	0	no_downstream_ejc
ENST00000351829.9	ENST00000940612.1	45561795	TRUE	975	579	1023	0	truncated_no_ejc
ENST00000351829.9	ENST00000940613.1	45561795	TRUE	975	855	942	0	truncated_no_ejc
ENST00000351829.9	ENST00000476957.5	45561795	FALSE	NA	NA	NA	NA	ref_atg_lost
ENST00000351829.9	ENST00000940614.1	45561795	TRUE	975	705	1136	0	truncated_no_ejc
ENST00000351829.9	ENST00000863941.1	45561795	TRUE	975	855	1151	0	truncated_no_ejc
ENST00000351829.9	ENST00000863942.1	45561795	TRUE	975	636	912	0	truncated_no_ejc
