comparator_isoform_id	category	comp_orf_length	n_downstream_ejc	dmso_mean	smg1i_mean	smg1i_over_dmso
ENST00000863936.1	truncated_no_ejc	888	0	0	2	NA
ENST00000372070.7	no_downstream_ejc	975	0	286.6666666666667	2972.3333333333335	10.36860465116279
ENST00000621846.4	no_downstream_ejc	975	0	44.666666666666664	513.6666666666666	11.5
ENST00000434299.5	mapping_failed	NA	NA	NA	NA	NA
ENST00000863937.1	no_downstream_ejc	975	0	1	8.666666666666666	8.666666666666666
ENST00000940609.1	no_downstream_ejc	975	0	NA	NA	NA
ENST00000863938.1	no_downstream_ejc	975	0	0.6666666666666666	9.333333333333334	14.000000000000002
ENST00000863939.1	no_downstream_ejc	975	0	NA	NA	NA
ENST00000962573.1	no_downstream_ejc	975	0	NA	NA	NA
ENST00000863940.1	truncated_no_ejc	750	0	NA	NA	NA
ENST00000940610.1	truncated_no_ejc	750	0	NA	NA	NA
ENST00000940611.1	truncated_no_ejc	708	0	NA	NA	NA
ENST00000496999.5	ref_atg_lost	NA	NA	0.3333333333333333	1.3333333333333333	4
ENST00000962574.1	no_downstream_ejc	975	0	NA	NA	NA
ENST00000940612.1	truncated_no_ejc	579	0	NA	NA	NA
ENST00000940613.1	truncated_no_ejc	855	0	NA	NA	NA
ENST00000476957.5	ref_atg_lost	NA	NA	NA	NA	NA
ENST00000940614.1	truncated_no_ejc	705	0	NA	NA	NA
ENST00000863941.1	truncated_no_ejc	855	0	0	8	NA
ENST00000863942.1	truncated_no_ejc	636	0	NA	NA	NA
ENST00000863943.1	truncated_no_ejc	708	0	0	2	NA
ENST00000863944.1	truncated_no_ejc	708	0	0.6666666666666666	1.6666666666666667	2.5000000000000004
ENST00000863945.1	truncated_no_ejc	855	0	0	3.6666666666666665	NA
ENST00000863946.1	no_downstream_ejc	975	0	0.3333333333333333	10.333333333333334	31.000000000000004
ENST00000481885.5	mapping_failed	NA	NA	NA	NA	NA
ENST00000471651.1	truncated_no_ejc	357	0	9.666666666666666	81.33333333333333	8.413793103448276
ENST00000863947.1	no_downstream_ejc	975	0	0.3333333333333333	5	15
ENST00000863948.1	truncated_no_ejc	837	0	NA	NA	NA
ENST00000863949.1	truncated_no_ejc	750	0	0	1	NA
ENST00000863950.1	no_downstream_ejc	996	0	NA	NA	NA
ENST00000863951.1	truncated_no_ejc	702	0	NA	NA	NA
ENST00000863952.1	no_downstream_ejc	975	0	NA	NA	NA
ENST00000863953.1	no_downstream_ejc	975	0	3.3333333333333335	35.666666666666664	10.7
ENST00000497973.5	ref_atg_lost	NA	NA	NA	NA	NA
ENST00000473038.5	ref_atg_lost	NA	NA	0	1.6666666666666667	NA
ENST00000495913.5	ref_atg_lost	NA	NA	NA	NA	NA
ENST00000487654.5	ref_atg_lost	NA	NA	NA	NA	NA
ENST00000475919.1	ref_atg_lost	NA	NA	0	1.3333333333333333	NA
ENST00000475985.1	ref_atg_lost	NA	NA	NA	NA	NA
ENSG00000117448.15.novel1	effectively_ptc	630	1	5.666666666666667	144	25.41176470588235
ENSG00000117448.15.novel2	effectively_ptc	630	1	2.3333333333333335	120	51.42857142857142
ENSG00000117448.15.novel3	no_downstream_ejc	975	0	21.666666666666668	159	7.338461538461538
ENSG00000117448.15.novel4	ref_atg_lost	NA	NA	2.3333333333333335	47.666666666666664	20.428571428571427
ENSG00000117448.15.novel5	effectively_ptc	357	4	3.3333333333333335	5.333333333333333	1.5999999999999999
