isoform_id	gene_id	n_exons	orf_length	ptc_distance	has_ptc	n_downstream_ejcs	stop_in_last_exon
ENST00000351829.9	ENSG00000117448.15	9	975	-65	FALSE	0	TRUE
ENST00000372070.7	ENSG00000117448.15	10	975	-65	FALSE	0	TRUE
ENST00000434299.5	ENSG00000117448.15	7	443	-86	FALSE	0	TRUE
ENST00000471651.1	ENSG00000117448.15	4	357	-155	FALSE	0	TRUE
ENST00000481885.5	ENSG00000117448.15	5	421	-64	FALSE	0	TRUE
ENST00000621846.4	ENSG00000117448.15	10	975	-65	FALSE	0	TRUE
ENST00000863936.1	ENSG00000117448.15	8	888	-65	FALSE	0	TRUE
ENST00000863937.1	ENSG00000117448.15	10	975	-65	FALSE	0	TRUE
ENST00000863938.1	ENSG00000117448.15	9	975	-65	FALSE	0	TRUE
ENST00000863939.1	ENSG00000117448.15	9	975	-65	FALSE	0	TRUE
ENST00000863940.1	ENSG00000117448.15	8	750	-65	FALSE	0	TRUE
ENST00000863941.1	ENSG00000117448.15	8	855	-65	FALSE	0	TRUE
ENST00000863942.1	ENSG00000117448.15	7	636	-65	FALSE	0	TRUE
ENST00000863943.1	ENSG00000117448.15	9	708	-65	FALSE	0	TRUE
ENST00000863944.1	ENSG00000117448.15	8	708	-65	FALSE	0	TRUE
ENST00000863945.1	ENSG00000117448.15	9	855	-65	FALSE	0	TRUE
ENST00000863946.1	ENSG00000117448.15	10	975	-65	FALSE	0	TRUE
ENST00000863947.1	ENSG00000117448.15	10	975	-65	FALSE	0	TRUE
ENST00000863948.1	ENSG00000117448.15	9	837	-65	FALSE	0	TRUE
ENST00000863949.1	ENSG00000117448.15	8	750	-65	FALSE	0	TRUE
ENST00000863950.1	ENSG00000117448.15	10	996	-65	FALSE	0	TRUE
ENST00000863951.1	ENSG00000117448.15	7	702	-65	FALSE	0	TRUE
ENST00000863952.1	ENSG00000117448.15	9	975	-65	FALSE	0	TRUE
ENST00000863953.1	ENSG00000117448.15	9	975	-65	FALSE	0	TRUE
ENST00000940609.1	ENSG00000117448.15	10	975	-65	FALSE	0	TRUE
ENST00000940610.1	ENSG00000117448.15	9	750	-65	FALSE	0	TRUE
ENST00000940611.1	ENSG00000117448.15	9	708	-65	FALSE	0	TRUE
ENST00000940612.1	ENSG00000117448.15	8	579	-65	FALSE	0	TRUE
ENST00000940613.1	ENSG00000117448.15	8	855	-65	FALSE	0	TRUE
ENST00000940614.1	ENSG00000117448.15	9	705	-65	FALSE	0	TRUE
ENST00000962573.1	ENSG00000117448.15	9	975	-65	FALSE	0	TRUE
ENST00000962574.1	ENSG00000117448.15	10	975	-65	FALSE	0	TRUE
